ax,ay,az,gx,gy,gz,type
4100.0,-7080.0,-668.0,-959.0,-6643.0,-32768.0,twisting
11232.0,1692.0,1832.0,2500.0,-4002.0,3392.0,twisting
3816.0,-25240.0,-628.0,1361.0,-11764.0,-8696.0,twisting
2584.0,-18688.0,448.0,-1348.0,263.0,-6899.0,twisting
-1124.0,7432.0,5792.0,3195.0,-18990.0,-32029.0,twisting
-148.0,4240.0,1412.0,2175.0,335.0,28728.0,twisting
4364.0,-17732.0,-2608.0,-228.0,-7718.0,-4437.0,twisting
2388.0,-24108.0,-544.0,972.0,6793.0,-32768.0,twisting
17392.0,-2552.0,-3396.0,2188.0,1801.0,4874.0,twisting
-3916.0,-32768.0,-2696.0,-5861.0,-14669.0,32767.0,twisting
4464.0,-18212.0,-3396.0,-1105.0,-466.0,-8445.0,twisting
-8644.0,-12616.0,-1212.0,-1134.0,1859.0,-32768.0,twisting
13992.0,1956.0,-2440.0,-318.0,5709.0,12159.0,twisting
2904.0,-24400.0,1140.0,-4284.0,-2546.0,17760.0,twisting
3872.0,-21620.0,-28.0,3783.0,4629.0,-10551.0,twisting
19572.0,148.0,-5024.0,777.0,-277.0,9223.0,twisting
-6148.0,4496.0,1052.0,5197.0,5758.0,32767.0,twisting
-1456.0,-14896.0,-4816.0,-6320.0,5586.0,16409.0,twisting
800.0,-22324.0,-3792.0,10726.0,7321.0,-29999.0,twisting
9820.0,-1756.0,4828.0,962.0,277.0,9122.0,twisting
13288.0,-32768.0,1708.0,-7432.0,-8148.0,27582.0,twisting
608.0,-16512.0,-4284.0,215.0,1574.0,4888.0,twisting
10048.0,6924.0,-10520.0,-5824.0,13869.0,-11012.0,twisting
15220.0,-4180.0,808.0,739.0,4576.0,6858.0,twisting
2560.0,-32768.0,-3568.0,-10505.0,-4946.0,32767.0,twisting
-1184.0,-16724.0,-4260.0,-641.0,941.0,1320.0,twisting
5704.0,-11684.0,-7216.0,5716.0,5203.0,-32768.0,twisting
11784.0,1084.0,752.0,131.0,-7101.0,-7907.0,twisting
1736.0,-19888.0,-9044.0,-18109.0,-23480.0,-15848.0,twisting
5968.0,-19860.0,-8388.0,5968.0,8699.0,-3042.0,twisting
-13588.0,26300.0,5508.0,2450.0,-16284.0,-32768.0,twisting
